,Crime_ID,Theft_Type
743,1101,Other Theft
744,1102,Theft from Vehicle
745,1104,Theft from Vehicle
746,1106,Theft of Vehicle
748,1117,Theft from Vehicle
749,1126,Theft from Vehicle
750,1128,Theft of Vehicle
751,1131,Theft from Vehicle
752,1132,Theft of Vehicle
753,1134,Theft from Vehicle
755,1136,Theft of Vehicle
756,1140,Theft from Vehicle
757,1142,Theft from Vehicle
758,1143,Theft of Vehicle
759,1145,Theft of Vehicle
760,1147,Theft of Bicycle
761,1150,Theft of Vehicle
762,1151,Theft from Vehicle
763,1152,Theft from Vehicle
764,1153,Theft from Vehicle
765,1155,Theft from Vehicle
766,1156,Theft from Vehicle
767,1159,Theft of Vehicle
768,1160,Theft of Vehicle
770,1162,Theft from Vehicle
775,1172,Theft from Vehicle
777,1174,Theft of Vehicle
783,1187,Theft of Vehicle
792,1196,Theft from Vehicle
795,1200,Theft of Vehicle
796,1203,Theft from Vehicle
797,1207,Theft of Vehicle
798,1208,Theft from Vehicle
801,1213,Theft of Vehicle
802,1217,Theft from Vehicle
804,1219,Theft of Vehicle
805,1221,Theft of Vehicle
806,1222,Other Theft
807,1223,Theft from Vehicle
809,1225,Theft of Bicycle
810,1229,Theft from Vehicle
811,1232,Theft from Vehicle
812,1233,Theft from Vehicle
814,1235,Theft from Vehicle
815,1237,Theft of Bicycle
818,1242,Theft of Bicycle
819,1243,Theft from Vehicle
820,1248,Theft from Vehicle
821,1250,Theft from Vehicle
822,1251,Theft of Vehicle
823,1252,Theft from Vehicle
826,1261,Theft of Vehicle
827,1262,Theft of Vehicle
828,1263,Theft of Vehicle
829,1264,Theft of Vehicle
830,1265,Theft from Vehicle
831,1266,Theft of Vehicle
832,1267,Theft of Vehicle
833,1268,Theft of Vehicle
834,1269,Theft of Vehicle
835,1270,Theft from Vehicle
836,1271,Theft from Vehicle
837,1272,Theft of Bicycle
838,1273,Theft of Bicycle
839,1274,Theft from Vehicle
840,1275,Theft from Vehicle
841,1276,Theft of Bicycle
842,1277,Theft from Vehicle
843,1278,Theft from Vehicle
844,1279,Theft from Vehicle
845,1280,Theft from Vehicle
847,1282,Theft of Bicycle
848,1283,Theft from Vehicle
850,1290,Theft from Vehicle
851,1291,Theft from Vehicle
852,1294,Theft of Bicycle
853,1295,Theft of Bicycle
855,1299,Theft of Vehicle
856,1300,Theft from Vehicle
857,1301,Theft of Vehicle
858,1304,Theft from Vehicle
859,1305,Theft from Vehicle
861,1310,Theft of Vehicle
862,1312,Theft of Vehicle
864,1315,Other Theft
865,1317,Theft of Vehicle
866,1318,Theft from Vehicle
867,1319,Theft from Vehicle
869,1321,Theft of Bicycle
871,1324,Theft of Vehicle
875,1330,Theft from Vehicle
876,1331,Theft from Vehicle
877,1332,Theft from Vehicle
878,1334,Theft of Bicycle
879,1335,Theft of Vehicle
880,1336,Theft from Vehicle
881,1339,Theft of Vehicle
882,1340,Theft of Vehicle
883,1342,Theft of Vehicle
885,1344,Theft of Vehicle
886,1345,Theft from Vehicle
887,1346,Theft of Vehicle
889,1348,Theft from Vehicle
892,1353,Theft of Bicycle
893,1356,Theft from Vehicle
894,1357,Theft from Vehicle
895,1358,Theft of Vehicle
898,1364,Theft of Bicycle
899,1367,Theft from Vehicle
900,1368,Theft from Vehicle
901,1369,Theft from Vehicle
903,1374,Theft of Vehicle
905,1376,Theft from Vehicle
906,1377,Theft of Vehicle
907,1378,Theft from Vehicle
909,1385,Theft of Bicycle
911,1388,Theft from Vehicle
912,1389,Theft from Vehicle
914,1391,Theft from Vehicle
915,1393,Theft from Vehicle
916,1394,Theft from Vehicle
917,1395,Theft of Vehicle
918,1396,Theft from Vehicle
919,1397,Theft from Vehicle
921,1402,Theft of Vehicle
922,1403,Theft from Vehicle
923,1404,Theft of Vehicle
924,1405,Theft from Vehicle
925,1406,Theft from Vehicle
926,1408,Theft from Vehicle
927,1409,Theft of Bicycle
929,1413,Theft of Bicycle
930,1414,Theft of Vehicle
931,1416,Theft from Vehicle
932,1417,Theft of Bicycle
933,1420,Theft from Vehicle
934,1421,Theft of Vehicle
935,1422,Theft of Vehicle
938,1426,Theft from Vehicle
945,1439,Theft from Vehicle
947,1443,Theft from Vehicle
949,1445,Theft from Vehicle
950,1448,Theft of Vehicle
955,1453,Theft from Vehicle
956,1454,Theft from Vehicle
959,1459,Theft from Vehicle
960,1461,Theft from Vehicle
961,1462,Theft from Vehicle
962,1465,Theft of Vehicle
963,1466,Theft of Bicycle
964,1468,Theft from Vehicle
965,1469,Theft from Vehicle
966,1471,Theft from Vehicle
967,1472,Theft of Vehicle
968,1473,Theft of Vehicle
970,1475,Theft of Vehicle
971,1476,Theft from Vehicle
972,1477,Theft of Vehicle
974,1481,Other Theft
975,1482,Theft from Vehicle
976,1483,Theft from Vehicle
977,1487,Theft from Vehicle
978,1488,Theft of Vehicle
979,1489,Theft from Vehicle
980,1490,Other Theft
981,1491,Other Theft
984,1494,Theft from Vehicle
987,1499,Theft from Vehicle
988,1500,Theft from Vehicle
989,1501,Theft from Vehicle
990,1505,Theft of Vehicle
991,1506,Theft of Bicycle
996,1511,Theft of Vehicle
999,1515,Theft from Vehicle
1000,1516,Theft from Vehicle
1001,1517,Theft from Vehicle
1002,1518,Theft from Vehicle
1005,1522,Theft of Vehicle
1006,1524,Theft from Vehicle
1008,1528,Theft from Vehicle
1009,1529,Theft from Vehicle
1011,1531,Theft from Vehicle
1012,1532,Theft of Vehicle
1013,1534,Theft from Vehicle
1014,1535,Theft from Vehicle
1017,1542,Theft of Vehicle
1018,1543,Theft from Vehicle
1019,1546,Theft from Vehicle
1025,1554,Theft from Vehicle
1026,1557,Theft from Vehicle
1027,1559,Theft from Vehicle
1028,1563,Theft of Vehicle
1029,1564,Theft from Vehicle
1030,1566,Theft from Vehicle
1031,1567,Theft from Vehicle
1032,1570,Theft of Vehicle
1033,1571,Theft of Vehicle
1034,1572,Theft of Vehicle
